ID,Lemma,Human_Label,Full_Sentence
11,run,IDIOMATIC,"contract with a record company. The company was contracted to build a dam. £ Unit III sit and /ill seat a Listen and tick the word you hear. sit seat hit ; heat bit beat ship sheep fit feet tin teen b Listen and repeat. Don't sit on my feet. You win - you beat me! We need a bit of heat in here. Unit Ini thin and /r}/ thing Listen and tick the word you hear. E ran ? rang ? Listen and repeat. He ran in when the phone rang. Don't bang on the table - it's banned in here. Sorry, Ron - you're wrong! Unit Word stress in multi-syllabic words E How many syllables do the words in each group have? happy silly delay nervous medicine therapy comedy departure reservation comedian medicinal identify E Underline the word in each group with a different stress pattern from the others. Then listen and check. PRONUNCIATION m vocabulary bank Unit Personality calm = quiet and relaxed Helen never seems to get angry or excited - she's"
12,keep,IDIOMATIC,"He always manages to keep his cool, even when things are crazy."
13,make,IDIOMATIC,Always make eye contact when you are talking to someone.
14,make,IDIOMATIC,"new Receiver, and the previous Receiver had to pull it through a long time period too."" ""But what happened to those things? Snow, and the rest of it?"" ""Climate Control. Snow made growing food difficult, limited the agricultural periods. And unpredictable weather made transportation almost impossible at times. It wasn't a practical thing, so it became useless when we went to Sameness. ""And hills too,"" he added. ""They made it difficult, limited the agricultural periods. And they made the transportation of goods difficult: trucks; buses. Slowed them down. So ..."" He waved his hand, as if a gesture had caused hills to disappear. ""Sameness,"" he concluded. Jonas frowned. ""I wish we had those things, still. Just now and then."" The old man smiled. ""So do I,"" he said. ""But that choice is not ours."" Slowly, Jonas starts to realise that he no longer sees the world only in black-and-white, like everybody"
15,hold,IDIOMATIC,Hold all questions until the end of the presentation.
16,drop,IDIOMATIC,Please drop off your keys at the reception desk upon departure.
17,look,LITERAL,"We didn't cook any food because there was a restaurant. Who did the teacher say was responsible? I don't know. vocabulary a Mark the sentences T (true) or F (false). Correct the false statements. b _________________________________ ___[_ Join the two sentences to make one. He smiled to himself and wrote the letter at the same time. Writing the letter, he smiled to himself. He wrote the letter. Then he posted it. Having written the letter, he posted it. She looked out of the window and thought about her father at the same time. b Instrumental music is music that doesn't have singing. When you whistle or hum along to a song, you sing the words. Another way of describing music with a good rhythm is to say it's got a good beat. When you can't get a song out of your head, you can't stop singing it. Match the words in the box with the sentences. T range glacier lake plain bay coral reef canyon They climbed the"
18,see,IDIOMATIC,Do you see the necessity of implementing these new safety protocols?
19,make,IDIOMATIC,"also celebrities used to promote one-off projects every now and then. But perhaps the agency most represented by the stars is UNICEF. (Circle) the correct words to complete the rule. RU E When relative clauses are passive / active, we can leave out the relative pronoun and the verb be / past participle. vocabulary & Fame (Circle) the correct words. Then work in pairs and think of answers to the questions. Think of someone in your country who: is (amousjor)/ famous by entertaining children. made a name / did a name for themselves by marrying someone famous. did it big / made it big in international cinema. is a household name / household person in sport. enjoyed / liked a lot of success a few years ago but has since disappeared. is a singing excitement / sensation for teenagers. UNIT Listen Listen to Paul and Maria's opinions on famous people and politics. Answer the questions. Who is in favour of famous people getting involved in politics? Why? Who is against famous people getting involved in politics"
20,look,LITERAL,"me. c s It's all about them fast car nights and them big bold days. Living this champagne life, everything's OK. Let's toast it up, oh, let's toast it up, oh. Said we play all night, and we play all day. Living this champagne life, everything's OK Let's toast it up, oh, baby let's toast it up. speaking S A / v Thinking about the job world: Statistics on work patterns a) In groups of - , look at the two charts about work patterns in the UK. Point out the main facts that you learn. b) . Explain how the following ideas could play a role in the statistics: job satisfaction boredom curiosity . Discuss whether it's desirable to stay in a job for more or less than two years. c) Your turn: Complete these sentences with ideas about yourself ( - lines): . In years' time, I'll have / be / do ... . My idea of success / a good life is /"
21,hold,IDIOMATIC,"Let's hold off on going to the party until later tonight, I'm tired now."
22,see,LITERAL,"flat next door some minutes before. . He hadn't been/wasn't relaxed at all and kept/hadkept Looking atthe door while he was talking/talked to the police officer. P Choose a verb from the following list and use the correct tense: remember - happen - rush - be - notice - Look - do - go on - bump. It alL... a Long time ago on a foggy day. There... a sudden cry from the street. I quickly... to the window of my flat to see what.... While I... up and down the street, I suddenly... a strange man with black gloves. I ...that I ...into this man the day before. What... he... here? (Sounds] WB ? La prononciation de La terminaison -ed P ...coutez le texte ci-dessous. Concentrez-vous sur les verbes soulignÈs. Someone knocked on the door and called his name. Inspector Barry realised that it had to be the killer. He waited in silence for a minute then he decided to call for some backup"
23,hold,IDIOMATIC,I don't think his excuse will hold up with the manager this time.
24,see,LITERAL,". Girls I walk into the lunchroom with JB. Heads turn. I'm not bald like JB, but my hair's close enough so that people sprinting past us do double-takes. Finally, after we sit at our table, the questions come: Why'd you cut your hair, Filthy? How can we tell who's who? JB answers, I'm the cool one who makes free throws, and I holler, I'M THE ONE WHO CAN DUNK. We both get laughs. Some girl who we've never seen before, in tight jeans and pink Reeboks, comes up to the table. JB's eyes are ocean wide, his mouth swimming on the floor, his clownish grin, embarrassing. So when she says, Is it true that twins know what each other are thinking? I tell her you don't have to be his twin to know what he's thinking. b) Say how you could tell the twins apart in a basketball game. crossover Crossover (schneller Handwechsel beim Dribbeln) be caught by surprise völlig überrascht sein vice"
25,look,LITERAL,", as in strange,"" Tally said. ""So this is what people looked like before the first pretty? How could anyone stand to open their eyes?"" ""Yeah. It's scary at first. But the weird thing is, if you keep looking at them, you kind of get used to it."" Shay turned to a full-page picture of a woman wearing only some kind of formfitting underwear, like a lacy swimsuit. ""What the ...,"" Tally said. ""Yeah."" The woman looked like she was starving , her ribs thrusting out from her sides, her legs so thin that Tally wondered how they didn't snap under her weight. Her elbows and pelvic bones looked sharp as needles. But there she was, smiling and proudly baring her body, as if she'd just had the operation and didn't realize they'd sucked out way too much fat. The funny things was, her face was closer to being pretty than any of the rest. She had the big eyes, smooth skin, and"
26,look,IDIOMATIC,"Most children start school at the age of five. Children under years of age must be accompanied, (quite formal) people aged to Not people of age to the to age group Underline the correct phrase to complete the sentences. In the UK, you have to be years old/ -year old to drive a car. He left school at years age/the age of and started work in the family business. She started riding when she was just six years old/six year olds. It's hard work looking after a two years old/ two-year-old all day. The club is for young people aged to / age from to . unit The environment The environment refers to the land, air and water where people, plants and animals live. Be careful, you usually use it with the article the - and pay attention to the spelling - don't forget the 'n' in the middle. Protecting the environment has to be our top priority. You can also talk about environmental issues/ problems. In English, nature Is used"
27,run,LITERAL,"throw up sich übergeben, sich erbrechen stagger torkeln weak schwach wild boar Wildschwein bone Knochen creek (AusE) Bach bugger (infml, rude) Kerl steer junger Ochse apart from außer wallaby Wallaby (kleine Känguruart) send sb. flying jn. zu Boden schicken tusk Hauer (Eckzahn eines Wildschweines) tear, tore, torn (zer)reißen pain Schmerz(en) yelp aufjaulen 0 Text File ( He ran back to Bill. On the way he picked up a 0 stick. As he came over the hill, he ran at the boar, hitting it again and again. It turned to face Colm. There was blood on its tusks. Bill tried to pull himself away, leaving a trail of blood behind him. Colm raised the stick high and brought it down on the boar's head. The boar snorted, but instead of running at Colm, it turned back to Bill. Colm threw the stick down and grabbed Bill's gun. He was shaking as he raised the gun to his iso shoulder. Colm knew that if he shot the animal"
28,make,NONE,"; bedeutend; Haupt- IV majority [ma' djorati] Mehrheit; Mehrzahl IV to make [meik] machen; tun; bilden; ergeben I; hier: lassen V U , to be made of [bi' meid-av] bestehen aus III to be made up of/from [bi meid-Apav/ fram] zusammengesetzt sein aus; bestehen aus V U , to make a choice [meika' tjais] eine Wahl treffen V U , to make a decision [meika di' srjn] eine Entscheidung treffen II to make a difference (to sth) [meika ' difrans] etw. verändern V AC , to make a living (from) [meik-a'liviN fram] seinen Lebensunterhalt bestreiten (mit) IV to make a wish [meika 'wij] sich etwas wünschen I to make friends [meik'frendz] Freundschaft schließen II to make fun of [meikfAnav] sich lustig machen über IV to make it ['meikit] es schaffen IV to make money [meik' mAni] Geld verdienen I to make notes [meik'"
29,hold,IDIOMATIC,Hold the line; a customer service representative will be with you shortly.
30,drop,IDIOMATIC,Is it permissible for us to drop the less critical tasks for today?
31,see,LITERAL,"to make conversation. If the statement is positive we use a........tag, and if the statement is negative we use a......... tag. If the statement does not have an auxiliary or modal verb, we use do/does (present) or did (past). E Complete the tags for these statements. There was a programme on TV about celebrity politicians, _wasn't....there? You didn't have the time to sit down and watch it, you? It wasn't as boring as the one we saw last week, it? The presenter said some really interesting things about the topic,.............she? We would've watched it if we'd known it was on, ..............we? We should've recorded it to use for our school project,............we? I'm sure the teacher will ask us to watch the one next week,..............he? The way I see it, we don't have to listen to celebrities when they talk about politics, we? a b Work in small groups. Imagine you are"
32,break,LITERAL,"the guard dog. We opened the gate. Long ago In a village In China, there lived a farmer. One day, his horse ran away. All the villagers said 'How terrible!' But the farmer just said 'Maybe, maybe not.' Eventually, the horse came back, bringing two wild horses with IL All the villagers said 'How wonderful!' But the farmer just said 'Maybe, maybe not.' The farmer's son tried to ride one of the horses but he fell off and broke his leg. All the villagers said 'How terrible!' But the farmer just said 'Maybe, maybe not.' One day, the army came to the village to find young men to fighL The farmer's son couldn't go because of his broken leg. All the villagers said 'How wonderful!' But the farmer just said 'Maybe, maybe not' Read this traditional Chinese story. Discuss it in pairs. What do you think the meaning of it is? Write three conditional sentences based on the story"
33,see,LITERAL,", (third conditional: a hypothetical situation in the past) We can report what someone has said with a variety of verbs. The most common ones are say and tell. We often describe the attitude of the speaker with verbs such as promise, convince, warn, agree, encourage, refuse etc. When we report speech in structures like He said that..., we usually change the tense of the original statement. 'I'm going to see the Wimbledon final tomorrow!' My cousin told me she was going to see the Wimbledon final tomorrow. We often change pronouns and time and location expressions depending on if these are different now from when the original statement was made. Til see you at my house this euening."" He said that he would see meat his house that euening. When we use a reporting verb followed by another verb, we need to use the correct form of the second verb. My sister refused to tell me where she was going. Dad admitted telling Mum about my argument. My brother warned me not to go"
34,turn,IDIOMATIC,"health, to have a voice and to be treated fairly, to simply be a child, not catapulted into a world of adult stresses and strains. And these rights don't stop when the going gets tough. Children caught up in emergencies are especially vulnerable. I recently visited Chad and met children caught up in a brutal adult conflict, children stripped of their childhoods. I listened to their stories, horrific stories of degrading and brutalizing treatment. But I also heard their hopes and dreams for the future. We cannot turn our backs on the hardest to reach. We must work harder than ever to protect their rights to health and education, and to give them back their childhood, to give them back their futures. UNICEF is working all over the world to ensure governments can keep their promises to children. I promise to support UNICEF's work for children now and in the future. I hope you will join me and make your promise. INTERVIEWER: We've asked two young women to tell us about their origins. First listen to Sophia."
35,make,LITERAL,Did you make it to the party on time last night?
36,see,IDIOMATIC,We should totally see if that new pizza place is any good tonight.
37,keep,IDIOMATIC,"For safety, keep off the restricted construction site."
38,keep,IDIOMATIC,"I always try to keep my word, especially to my friends."
39,break,IDIOMATIC,"Don't worry, we'll probably just break even on our vacation budget."
40,make,IDIOMATIC,", went to the US to study at the Curtis Institute in Philadelphia. In April , Lang Lang made his Carnegie Hall debut, _________great reviews by the American critics. At the Great Hall of the People in Beijing he gave a concert ....by an audience of , people. An article ...........about him some years ago in Teen People identified him as one of the Top Twenty Teens who will change the World'. He's no longer a teenager, but he is certainly making his mark on the world and helping to make it a better place. d Read the sentences and cross out the words in italics that are not needed. An appeal that was launched by UNICEF is looking to raise millions for victims of the Haitian earthquake. Robbie Williams whose TV advert was used to raise money for the appeal was very successful. There are also celebrities used to promote one-off projects every now and then. But perhaps the agency most represented by the stars is UNICEF. (Circle) the correct words to complete the rule. RU E When relative clauses are"
41,make,LITERAL,"can't be bothered, so I'm going to watch TV. to sweat (over something) = to work very hard I've been sweating over this maths problem for an hour - but I can't solve it! no sweat [informal] = it isn't difficult / not a problem 'Can you show me how to use this program on my laptop?' 'Sure - no sweat.' to be worth the effort = to produce results which give value to the effort This food is really difficult to make - but it's so delicious, it's worth the effort. to put everything into (something) = to work as hard as possible, make as much effort as possible He was only in fifth place, but then he put everything into the last metres and he won! to endeavour [formal] = to try Thank you for your letter. We will endeavour to reply before the end of the week. VOCABULARY BANK SIGN LANGUAGE Unit Language sign language = the system of hand and body movements that deaf people use"
42,see,LITERAL,"I can see you're pretty tired, so let's just chill out at home tonight."
43,take,LITERAL,"is just one of a growing number of incredible examples of possibly the most jaw-dropping development in surgical history- the facial transplant. When Richard Norris first saw his new face in a mirror, three days after a -hour operation to complete the world's most extensive face transplant to date, he was lost for words. But doctors conveyed wonder on his behalf as Norris continued relearning to talk - 'this is so cool,' one of his surgeons kept repeating. Norris, , had lived behind a mask since a gun accident took away his lips, nose and the front part of his tongue years ago. Unusually for victims of facial gun injuries, his vision was largely unaffected, and so, as soon as possible after his surgery at the University of Maryland Medical Centre, he asked to see the results, doctors reported. On the same day, Norris, of Hillsville, Virginia, told them that he could smell, too. The operation took place on and March. A week later, he was able to brush his teeth and shave."
44,see,NONE,"a I'oral. Ecoutez attentivement chaque enonce afin de bien en comprendre le sens global. Indiquez dans chaque cas si vous avez entendu la forme ou . a. l. must talk b. l. mustn't talk c. l. might be a. . must be talking b. . must be talking c. . might have been d. l. must be e. l. might see f. l. might see d. . must have been e. . might have seen f. . might have seen Lexique Vivre ensemble Keywords p. Assurez-vous que vous avez bien retenu les mots cles de I'unite. Donnez les synonymes ("") ou les antonymes () des mots suivants: a. tolerant = ... b. tolerant ( mots) ... c. difference ... d. traditions = ... e. stand together Donnez ('equivalent anglais des mots et des expressions suivantes: a. croyances b. partial c. amical d. semblable e. partager des valeurs f. passer d'une culture a I'autre g. etre sur un"
45,see,LITERAL,See the large blue sign ahead for directions to the parking area.
46,break,LITERAL,Break the chocolate bar into squares for sharing.
47,take,IDIOMATIC,"Kenya, for example, are said to go regularly at night-time to a cave on the side of Mount Elgon, an extinct volcano. Once they are in the cave, they use their tusks to break off parts of the soft rocks, crunch them in their mouths, and then swallow them. For a long time, little was known about the reasons for this behaviour, but recently scientists have discovered that the rocks contain a high level of sodium, which is needed to help neutralise the toxins that elephants are known to take in with their plant diet. The behaviour of these elephants and of other animals shows that they have developed amazing abilities to care for their own health - without any doctor having told them what medication to take! Discussion box What conclusions do you draw from reading this article? Would you like to be a scientist studying animal behaviour? Why / Why not? UNIT a c Read the text again and listen. Tick the correct answers. Newton and Nashida believe that animats eat plants in a similar way to how humans take medication"
48,make,LITERAL,"But no overview of the s would be complete without the Beatles! Starting in the early s, the four friends from Liverpool introduced the world to their catchy pop tunes and to their cool haircuts. But while the early songs like ""I want to hold your hand"" were fun, this was not the kind of music to influence future composers. The later songs (""Lucy in the sky with diamonds"" ® , ""Revolution"", ""A day in the life"") with their kaleidoscope of sounds and feelings made the Beatles the most influential music group ever. The s: Arena rock, Punk and Disco Arena rock was more theatrical and much louder than anything in the s. Groups like Queen (""Bohemian rhapsody""), Led Zeppelin (""Stairway to heaven"") or David Bowie (""Suffragette city"") showed in very different ways how special effects and dramatic stage antics could create new musical experiences in huge arenas. Those who wanted their music much more aggressive, faster and more chaotic, found it in the punk-rock scene"
49,break,IDIOMATIC,"He's trying to break into the music scene, it's really tough."
50,look,LITERAL,"two men in the photo are. Elizabeth Beck, Kim and Hoyt Parker's daughter, was murdered eight years ago. One day, two detectives, Carlson and Stone, go to the Parkers'. ""Mrs. Parker, how would you describe the relationship between your daughter and her husband?"" Carlson asked. ""They were very close, very much in love."" ""No problems?"" ""No,"" she said. ""None."" ""Would you describe Dr. Beck as a violent man?"" She looked startled . ""No, never."" They looked at Hoyt. Hoyt nodded his agreement. ""To your knowledge, did Dr. Beck ever hit your daughter?"" ""Never,"" Hoyt said. ""No one hit my daughter."" ""You're certain?"" His voice was firm. ""Very."" Carlson looked toward Kim. ""Mrs. Parker?"" ""He loved her so much."" ""I understand that, ma'am. But many wife-beaters profess to loving their wives."" """
51,keep,IDIOMATIC,Do you believe we can keep our client satisfied with the proposed changes?
52,run,IDIOMATIC,Run the tap water for a minute until it feels cold before filling your glass.
53,see,LITERAL,"an activity should be called a pastime, not a sport. Do you agree? Now complete the following sentences about you. Ifthe Olympic Games are ever held in my country.... I couldn't have become a professional athlete.... If I could meet any famous sportsperson in the world.... I won't be able to watch a World Cupfinal.... My friends and I would give anything.... If my school hadn't encouraged me.... Do you agree with the writer in exercise ? Give your opinion. In pairs, describe what you see in the three photos. Match the sports in the photos with the descriptions. What do you think of the sports? requires players to throw a round flat plastic object into a basket There are a series of baskets at different points, like the holes on a golf course. The object of the game Is to complete the course in the fewest number of throws. .also known as Octopush, Is a non-contact sport In which two teams compete to move a puck across the bottom of a swimming pool into a goal."
54,turn,LITERAL,Do not turn left when the sign indicates.
55,turn,IDIOMATIC,Do we anticipate the project timeline will turn out to be realistic given the new constraints?
56,make,LITERAL,", no music, no art, no colour - is surely a big contrast to your world. nn Make a list of things you do every day. Give your list to your partner, who is a member of V Jonas' community. Let him/her comment on these things from the community's perspective. Then switch roles and do the same. speaking Memories a) Comment on the community's decision to allow only one person to hold past memories. A / b) Explain how memories help countries, communities and individuals to make good decisions about the present and the future. c) Describe one of your own memories which has helped you to make a decision. speaking o m v S < Role play > wb / a) With your partner, think about some event in the past (on a class trip /at school/at a party). It can be a funny, dangerous, emotional, or sad situation. Now think about pro and con arguments for eliminating these memories. Would it be good or bad not to have those"
57,drop,IDIOMATIC,Did you hear they're gonna drop a new game next month? It looks awesome!
58,make,NONE,":n] leant [lent] / leaned [li:nd] leant [lent] / leaned [li:nd] (sich) lehnen learn [l :n] learnt [l :nt] / learned [l :nd] learnt [l :nt] / learned [l :nd] lernen leave [li:v] left [left] left [left] (ver)lassen lend [lend] lent [lent] lent [lent] (ver)leihen make [meik] made [meid] made [meid] machen, tun meet [mi:t] met [met] met [met] treffen pay [pei] paid [peid] paid [peid] (be)zahlen read [ri:d] read [red] read [red] lesen say [sei] said [sed] said [sed] sagen sell [sel] sold [sauld] sold [sauld] verkaufen send [send] sent [sent] sent [sent] senden, verschicken shoot [Ju"
59,see,LITERAL,Will we see an increase in efficiency if we implement the new software system?
60,see,LITERAL,"he/she should) to do sth • to keep one's wits [ki:p wAnz 'wits] = to make sure you know what is happening around you (e.g. in a dangerous situation) twenty-three (Text) And if you're still in trouble, just wave your arm like this"" - she gave the kind of big, languorous wave that only an Australian could possibly consider an appropriate response to a death-at-sea situation - ""and wait for the lifeguard to come."" ""What if the lifeguard doesn't see me?"" ""He'll see you."" ""But what if he doesn't?"" But Deirdre was already wading into the surf, a boogie board under her arm. I dropped my shirt onto the sand and stood naked but for my sagging trunks . Glenn, never having seen anything quite this grotesque on an Australian beach, certainly nothing still alive, snatched up his camera and began excitedly taking close-up shots of my stomach. Bizeet, bizeet, bizeet, bizeet, his camera sang happily as he followed me"
61,turn,IDIOMATIC,I think it's gonna turn out to be a great party tonight.
62,make,LITERAL,"Crapes of Wrath by John Steinbeck ( ) Main actors: Henry Fondajohn Carradine Synopsis: A poor Midwest family of farmers are forced off their land. They travel the Mother Road from Oklahoma to California, suffering the misfortunes of the homeless in the Great Depression, hoping to find a better life in the West. Bagdad CafÈ Genre: Comedy - Drama Director: Percy Adlon Main actors: Marianne S·gebrecht, CCH Pounder, Jack Palance Synopsis: A lonely German woman ends up at a desolate motel off Route and decides to make it brighter. This movie exemplifies how one person in the right place can affect a community of lives, here in a beautifully photographed landscape that is often ignored by most people. Thelma and Louise Genre: Road movie /Drama Director: Ridley Scott Main actors: Susan Sarandon, Geena Davis Synopsis: One day two young women decide to break out of their unsatisfying, normal life and jump in a car and hit the road on Route . Their journey, however, turns into a flight when Louise kills a man who assaults"
63,see,LITERAL,"open • rocky • overcrowded • suburban • tropical • wide V J blocks of flats. parks. pedestrian zone. streets. More help Lead in Connecting images O p. a) Look at photos - on p. . Choose two with a connection to the photo you described in . Here are some ideas: I'd say there's a connection between . and . because In my view, In my opinion, . is connected to . the theme of both photos is friendship/... the idea of community/. can be seen in both. both photos show ... the hands/. is/are a symbol of ... Here are some ways to react to your partners: f • Yes, I agree. I can see that connection. • That's just how I feel. • That's so true. • You're right. • Oh, I see. I'd never thought of it like that before. V________________________________________________ • No, sorry, I just don't get it. • I can't follow you - . has nothing to"
64,keep,IDIOMATIC,"_______________________________________________, TO LRI GURGE P Choose the correct form among the following pairs. . Thepolice had/did not see anything special when they were arriving/arrived atthe scene of the crime even if earlier on, the victim's neighbour was calling / had called them to report some unusual cries. . The policemen decided/were deciding to visit the neighbour who then declared/had declared that he had heard/heard gunshots from the flat next door some minutes before. . He hadn't been/wasn't relaxed at all and kept /hadkept Looking atthe door while he was talking/talked to the police officer. P Choose a verb from the following list and use the correct tense: remember - happen - rush - be - notice - Look - do - go on - bump. It alL... a Long time ago on a foggy day. There... a sudden cry from the street. I quickly... to the window of my flat to see what.... While I... up and down the street, I suddenly... a strange man with black"
65,look,LITERAL,"and plays the guitar very well. b Because it still gives her pleasure and reminds her of her grandparents. c Because it allowed her grandmother to teach her how to play it. Listen again and choose answer a, b or c. ? a Think about the best present you have ever received. Make notes under the headings. What was it? Who gave it to you? Why was it so special? e Work in small groups. Talk about the best present you have ever received. Grammar Modal verbs review Look at the examples from the listening text in Exercise . Can you remember which present the words in italics refer to? Write for shirt, for bicycle and G for guitar. He said I should look at it every day. They must be joking! I don't want thisl When you look at it, you'll never forget me. ._____ Try it Who knows? You might like it. I must have lost it somewhere. I couldn't buy another one, I didn't have enough money. ....___"
66,make,IDIOMATIC,She always manages to make new friends easily wherever she goes.
67,take,IDIOMATIC,", cold, warm colours lack of colour tense / joyfuI atmosphere on the left/right-hand side / in the distance in the foreground / background in the top half /the bottom half a Interpretation capture light draw one's attention to plan to intend to aim at M-'mg emphasise the importance add to underline I am under the impression... It looks as if... It is as though... I feel... It seems to me... Indigenous Art READING FILE The No. Ladies' Detective Agency by Alexander McCall Smith, The scene takes place in the tiny African country of Botswana. Mma Ramotswe has just inherited a substantial sum of money after her father's death. Mma Ramotswe had thought that it would not be easy to open a detective agency. People always made the mistake of thinking that starting a business was simple and then found that there were all sorts of hidden problems and unforeseen demands. She had heard of people opening businesses that lasted four or five weeks before they ran out of money or stock, or both. It was always more difficult than you"
68,keep,LITERAL,Keep your receipt for proof of purchase.
69,take,LITERAL,"including Australia, Namibia and South Africa. The quickest way of getting to the bottom involves standing with both feet on a board and weaving from side to side while trying not to fall off. If this sounds a little bit adventurous you could always just get on your stomach and slide down. Either way, it's a lot of fun! However, don't forget to keep your mouth closed. Extreme ironing Wife-carrying Extreme ironing is called an extreme sport by some and a performance art by others. It's all about taking an ironing board to a remote location, where you then proceed to iron your clothes! According to the official website, extreme ironing is 'the latest danger sport that combines the thrills of an extreme outdoor activity with the satisfaction of a well-pressed shirt'. Part of the attention this has attracted in the media is to do with the issue of whether it is really a sport or not, and it is often not taken so seriously. Some locations where such performances have taken place include on a mountainside, in a forest"
70,run,IDIOMATIC,Should we run a quick diagnostic test on the network before the meeting commences?
71,see,LITERAL,"that the first of all Time Machines began its career. I gave it a last tap, tried all the screws again, and sat in the chair. I took the starting lever in one hand and the stopping one in the other, pressed the first, and almost immediately the second. I seemed to spin; I felt a nightmare sensation of falling; but. looking round, I saw the laboratory exactly as before. Had anything happened? For a moment I thought that my mind had tricked me. Then I saw the clock. A moment before, as it seemed, it had stood at a minute or so past ten; now it was nearly half-past three! I drew a breath, set my teeth, gripped the starting lever with both hands, and went off with a thud. The laboratory got hazy and went dark. Mrs. Watchett came in and walked, apparently without seeing me, towards the garden door. I suppose it took her a minute or so to cross the room, but to me she seemed to shoot across"
72,look,IDIOMATIC,Look out! There's a step down right here.
73,hold,LITERAL,Hold this box for me while I open the car trunk.
74,make,LITERAL,"it looks like. Reporter: What do you hope it'll look like? Moore: Beautiful! I hope for beauty. Reporter: It may not look like much now. But come spring, there will be tulips here where once there was only broken concrete. Theresa Blaner: I'm so excited – can't wait to see in the daytime! Doug: DC Guerrilla gardeners. Journalist: Going green is a very big topic here in Chicago. Mayor Richard Daley now in his sixth term in office is working to make this enormous teeming city the greenest city in America. Some of the policies mayor Daley has pushed include a major effort to plant new trees, hundreds of thousands of new trees and to turn the tops of urban buildings into green roof gardens, including one on top city hall. Where did you get this notion to turn this big city green? Mayor Daley: I've always believed that nature can coexist in an urban environment. It doesn't have to be all concrete and steel. It can't... basically you can"
75,make,IDIOMATIC,How can we make certain that all team members understand their roles?
76,make,IDIOMATIC,Would you be able to make arrangements for the upcoming client meeting?
