Lemma,Register,Mood,Usage_Category,Full_Sentence
drop,HIGH,Question,IDIOMATIC,Could we potentially drop the less critical agenda items to ensure timely completion?
drop,HIGH,Question,IDIOMATIC,Would it be feasible to drop off the updated quarterly report at reception?
drop,HIGH,Question,IDIOMATIC,Is it advisable to drop the current project if the anticipated risks are too substantial?
drop,HIGH,Question,IDIOMATIC,Might we consider an option to drop the requirement for a physical signature in this specific process?
drop,HIGH,Question,IDIOMATIC,Are you prepared to drop your previous proposal if compelling new data emerges?
drop,HIGH,Question,IDIOMATIC,Could you confirm if you were able to drop the necessary documents at the client's office this morning?
drop,HIGH,Question,IDIOMATIC,Should we perhaps drop the formality and address each other by our first names during team meetings?
drop,HIGH,Question,IDIOMATIC,Do you anticipate the company will need to drop any product lines from its catalog this quarter?
drop,HIGH,Question,IDIOMATIC,Is there a possibility to drop the delivery charge for our esteemed clients who place bulk orders?
drop,HIGH,Question,IDIOMATIC,Can we respectfully drop this particular discussion point for now and revisit it at our next meeting?
drop,LOW,Statement,IDIOMATIC,"She just had to drop that secret about the party during our game night, didn't she?"
drop,LOW,Statement,IDIOMATIC,Did you hear that band is gonna drop a new album next month? I'm so excited!
drop,LOW,Statement,LITERAL,"I totally saw him drop his phone, but luckily, it didn't even get a scratch."
drop,LOW,Statement,IDIOMATIC,He decided to drop out of the coding club because he was just too swamped with work.
drop,LOW,Statement,IDIOMATIC,I really need to drop off these library books before they start charging me late fees.
drop,LOW,Statement,IDIOMATIC,"You should totally drop that old jacket; it's not really your style anymore, honestly."
drop,LOW,Statement,IDIOMATIC,"They're going to drop the new episode of that show online tonight, so I'm staying in."
drop,LOW,Statement,IDIOMATIC,"I sometimes drop hints about what I want for my birthday, but he never seems to get them."
drop,NEUTRAL,Imperative,LITERAL,Please drop your used towels in the laundry bin provided.
drop,NEUTRAL,Imperative,LITERAL,Do not drop litter on the pavement; use the bins.
drop,NEUTRAL,Imperative,IDIOMATIC,Drop your speed as you approach the intersection ahead.
drop,NEUTRAL,Imperative,LITERAL,Simply drop the completed forms into the marked collection box.
drop,NEUTRAL,Imperative,LITERAL,"Before you leave, drop the keys on the kitchen counter."
drop,NEUTRAL,Imperative,LITERAL,Carefully drop the fishing line into the water near the rocks.
drop,HIGH,QUESTION,IDIOMATIC,Could we drop this agenda item to allow more time for the primary discussion?
drop,HIGH,QUESTION,IDIOMATIC,Would it be feasible to drop the delivery at the main reception by 2 PM?
drop,HIGH,QUESTION,IDIOMATIC,Should we consider dropping the less efficient procedures to streamline operations?
drop,HIGH,QUESTION,IDIOMATIC,Is there a designated area where I can drop off the confidential documents?
drop,HIGH,QUESTION,IDIOMATIC,Might we need to drop our initial sales forecasts slightly due to recent market fluctuations?
drop,HIGH,QUESTION,IDIOMATIC,Could you confirm if the tender documents will drop off at our office tomorrow morning?
drop,HIGH,QUESTION,IDIOMATIC,Are we prepared to drop the current software system if a superior alternative is identified?
drop,HIGH,QUESTION,IDIOMATIC,Is it prudent to drop the less critical tasks to focus exclusively on urgent project components?
drop,HIGH,QUESTION,IDIOMATIC,Could you drop me an email with the updated project timeline at your earliest convenience?
drop,LOW,STATEMENT,IDIOMATIC,I need to drop by my sister's house later to grab my charger.
drop,LOW,STATEMENT,IDIOMATIC,Did you hear they're gonna drop a new game next month? It looks awesome!
drop,LOW,STATEMENT,LITERAL,My phone slipped and I nearly dropped it in the toilet!
drop,LOW,STATEMENT,IDIOMATIC,"Yeah, I think I'm going to drop out of the cooking class, it's too early."
drop,LOW,STATEMENT,IDIOMATIC,He keeps trying to drop hints about getting a new guitar for his birthday.
drop,LOW,STATEMENT,IDIOMATIC,Can you just drop me off at the next bus stop? I'm fine from there.
drop,LOW,STATEMENT,IDIOMATIC,I heard that popular clothing brand is going to drop prices for Black Friday.
drop,LOW,STATEMENT,IDIOMATIC,"Don't drop the ball on this group project, okay? We really need this."
drop,LOW,STATEMENT,IDIOMATIC,"Let's just drop the subject, it's making everyone uncomfortable."
drop,LOW,STATEMENT,LITERAL,"I'm so exhausted, I could literally drop right now and sleep for hours."
drop,NEUTRAL,IMPERATIVE,LITERAL,Please drop your completed forms in the box on the counter.
drop,NEUTRAL,IMPERATIVE,LITERAL,Do not drop any foreign objects into the drain.
drop,NEUTRAL,IMPERATIVE,LITERAL,Drop your shoulders and relax your neck muscles.
hold,HIGH,Question,IDIOMATIC,Could we hold our next quarterly review session on Tuesday morning?
hold,HIGH,Question,IDIOMATIC,Do you anticipate the current project timeline will hold as scheduled?
hold,HIGH,Question,LITERAL,Will the main auditorium hold the expected number of delegates comfortably?
hold,HIGH,Question,IDIOMATIC,Are you able to hold that specific appointment slot open for me until tomorrow?
hold,HIGH,Question,IDIOMATIC,Might we hold a brief consultation regarding the proposed policy changes?
hold,HIGH,Question,IDIOMATIC,Could you please confirm if the supplier can hold the quoted price until month-end?
hold,HIGH,Question,LITERAL,Does the current operational guideline hold any provisions for unforeseen circumstances?
hold,HIGH,Question,IDIOMATIC,Is it feasible to hold back the official announcement until all necessary approvals are secured?
hold,HIGH,Question,IDIOMATIC,Would you be available to hold a debriefing session after the client presentation?
hold,HIGH,Question,LITERAL,Can the existing server infrastructure hold the peak traffic anticipated next week?
hold,LOW,Statement,LITERAL,I can definitely hold your coffee if you need both hands for something else.
hold,LOW,Statement,IDIOMATIC,"I totally hold the view that pineapple actually belongs on pizza, don't you?"
hold,LOW,Statement,LITERAL,"This little backpack won't hold all my travel essentials, I think I need a bigger one."
hold,LOW,Statement,IDIOMATIC,I had to hold back my laughter during the really awkward speech last night.
hold,LOW,Statement,IDIOMATIC,"Yeah, I'll hold onto these concert tickets for you until the show."
hold,LOW,Statement,IDIOMATIC,"I don't really hold a grudge against him anymore, it was ages ago."
hold,LOW,Statement,LITERAL,My old phone just can't hold a decent charge for more than a few hours.
hold,LOW,Statement,IDIOMATIC,"She really knows how to hold her own in a debate, even with much older students."
hold,LOW,Statement,IDIOMATIC,I always try to hold onto the good memories from my childhood holidays.
hold,LOW,Statement,IDIOMATIC,"I need to hold off on buying that new video game for now, I'm trying to save up."
hold,NEUTRAL,Imperative,LITERAL,Hold the handrail firmly when using the escalator.
hold,NEUTRAL,Imperative,LITERAL,Please hold the door for the person behind you.
hold,NEUTRAL,Imperative,LITERAL,Hold your passport open to the photo page for inspection.
hold,NEUTRAL,Imperative,LITERAL,Hold the 'Shift' key while clicking the icon to open a new window.
hold,NEUTRAL,Imperative,LITERAL,Hold your place in the queue until the attendant calls you forward.
hold,NEUTRAL,Imperative,LITERAL,Hold the rope tightly and do not let go under any circumstances.
hold,NEUTRAL,Imperative,LITERAL,"Hold all personal items close to you, especially in crowded areas."
hold,NEUTRAL,Imperative,LITERAL,Hold this position for ten seconds to complete the exercise.
hold,NEUTRAL,Imperative,LITERAL,Hold the remote steady when pointing it at the screen for accurate input.
hold,HIGH,Question,IDIOMATIC,Could we hold a brief discussion regarding the project timeline?
hold,HIGH,Question,IDIOMATIC,Do you anticipate the system will hold up under increased traffic next month?
hold,HIGH,Question,IDIOMATIC,Might we hold this important meeting in the conference room on Tuesday?
hold,HIGH,Question,IDIOMATIC,Could you please confirm if this report holds all the necessary data?
hold,HIGH,Question,IDIOMATIC,Does the company still hold its annual charity event in December?
hold,HIGH,Question,IDIOMATIC,Will the board hold a vote on the proposed budget next week?
hold,HIGH,Question,IDIOMATIC,Do you believe this specific strategy will hold true for the long term?
hold,HIGH,Question,IDIOMATIC,Might we hold off on a final decision until we acquire more information?
hold,HIGH,Question,LITERAL,Is it possible for us to hold these sensitive documents for internal review only?
hold,LOW,Statement,LITERAL,I can totally hold your spot in line if you need to grab something.
hold,LOW,Statement,IDIOMATIC,She didn't hold back when she told him exactly what she thought.
hold,LOW,Statement,IDIOMATIC,"Let's hold a small get-together at my place next weekend, it'll be fun."
hold,LOW,Statement,IDIOMATIC,"He always holds onto old concert tickets, even from years ago, it's weird."
hold,LOW,Statement,IDIOMATIC,"I think my phone won't hold a charge for much longer, it's dying fast."
hold,LOW,Statement,IDIOMATIC,"You really have to hold it together when things get tough, don't you?"
hold,LOW,Statement,IDIOMATIC,"I can't believe they could hold a secret like that for so long, wow."
hold,LOW,Statement,IDIOMATIC,"My car engine sometimes won't hold a steady speed on hills, it's annoying."
hold,LOW,Statement,IDIOMATIC,"We decided to hold off on buying new furniture for now, saving some cash."
hold,LOW,Statement,LITERAL,"Don't worry, I'll hold your beer while you tie your shoelace, no problem."
hold,NEUTRAL,Imperative,LITERAL,Hold the railing firmly when using the stairs.
hold,NEUTRAL,Imperative,LITERAL,Please hold your tickets ready for inspection at the gate.
hold,NEUTRAL,Imperative,LITERAL,Hold this end of the rope while I secure the other.
hold,NEUTRAL,Imperative,LITERAL,Hold your breath underwater for as long as you can.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold the line; someone will be with you shortly.
hold,NEUTRAL,Imperative,LITERAL,Hold the power button down for five seconds to reset the device.
hold,NEUTRAL,Imperative,LITERAL,Hold your position until you receive further instructions.
hold,NEUTRAL,Imperative,LITERAL,Hold the door open for the people coming behind you.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold off on starting the test until everyone is ready.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold your applause until the very end of the performance.
hold,HIGH,Question,LITERAL,"Regarding the upcoming conference, will the venue hold sufficient capacity for all attendees?"
hold,HIGH,Question,IDIOMATIC,Do you believe the current budget can hold until the end of the fiscal year?
hold,HIGH,Question,IDIOMATIC,Could we hold a brief review session before submitting the final proposal?
hold,HIGH,Question,IDIOMATIC,Does this agreement hold validity across all our international branches?
hold,HIGH,Question,IDIOMATIC,What measures will we hold our team members accountable to for project completion?
hold,HIGH,Question,IDIOMATIC,Would you prefer to hold the discussion on this matter until the next board meeting?
hold,HIGH,Question,LITERAL,Could you confirm if the system is designed to hold such a large volume of data?
hold,HIGH,Question,IDIOMATIC,Does the company policy hold any specific guidelines regarding remote work arrangements?
hold,HIGH,Question,IDIOMATIC,Will the new strategy hold its effectiveness against evolving market challenges?
hold,HIGH,Question,IDIOMATIC,Is it possible for us to hold a video conference with our overseas partners tomorrow morning?
hold,LOW,Statement,LITERAL,I can hold your jacket for a bit if you want to dance.
hold,LOW,Statement,IDIOMATIC,"She's going to hold onto that old car forever, I bet."
hold,LOW,Statement,LITERAL,"Man, I don't think I can hold all these shopping bags by myself."
hold,LOW,Statement,IDIOMATIC,He told me to hold off on buying tickets until next week.
hold,LOW,Statement,LITERAL,"My phone won't hold a charge like it used to, it's so annoying."
hold,LOW,Statement,IDIOMATIC,"We just need to hold it together for a few more minutes, then we can leave."
hold,LOW,Statement,IDIOMATIC,I heard she still holds a grudge against him after all these years.
hold,LOW,Statement,IDIOMATIC,Could you hold my spot in line while I grab a coffee?
hold,LOW,Statement,IDIOMATIC,It's hard to hold a secret when everyone keeps asking questions.
hold,LOW,Statement,IDIOMATIC,"I think he's trying to hold back his laughter, but it's not working."
hold,NEUTRAL,Imperative,LITERAL,Hold the handrail firmly as you descend the stairs.
hold,NEUTRAL,Imperative,LITERAL,Please hold your ticket ready for inspection at the gate.
hold,NEUTRAL,Imperative,LITERAL,Hold the door open for the person behind you.
hold,NEUTRAL,Imperative,LITERAL,Hold this button down for five seconds to reset the device.
hold,NEUTRAL,Imperative,LITERAL,Hold your breath underwater for as long as you safely can.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold the line; an agent will be with you shortly.
hold,NEUTRAL,Imperative,LITERAL,Hold your dog on a leash in this park.
hold,NEUTRAL,Imperative,LITERAL,Hold the child's hand when crossing the street.
hold,NEUTRAL,Imperative,LITERAL,Hold the steering wheel with both hands at all times.
hold,HIGH,Question,IDIOMATIC,"Could we hold the next team meeting in Conference Room B, please?"
hold,HIGH,Question,IDIOMATIC,Do you anticipate the new system will hold up to increased user demand?
hold,HIGH,Question,IDIOMATIC,Will the department hold a training session for the updated software soon?
hold,HIGH,Question,IDIOMATIC,"Can we hold this discussion until after the presentation, if possible?"
hold,HIGH,Question,IDIOMATIC,Are we still able to hold the client appointment for 2 PM on Friday?
hold,HIGH,Question,IDIOMATIC,Does this policy hold validity across all our international subsidiaries?
hold,HIGH,Question,IDIOMATIC,Would you mind holding on for a moment while I retrieve the necessary documents?
hold,HIGH,Question,IDIOMATIC,Should we hold a brief poll to gather opinions on the proposed changes?
hold,HIGH,Question,IDIOMATIC,Will the allocated budget allow us to hold a larger networking event next quarter?
hold,HIGH,Question,IDIOMATIC,Does the committee still hold the view that market expansion is the primary strategy?
hold,LOW,Statement,LITERAL,I can't believe this small box can hold all my stuff for the trip!
hold,LOW,Statement,IDIOMATIC,"Hey, hold on a second, I think I forgot my wallet inside."
hold,LOW,Statement,IDIOMATIC,"She really knows how to hold a grudge, even over small things."
hold,LOW,Statement,IDIOMATIC,I hope this sunny weather will hold for our picnic tomorrow.
hold,LOW,Statement,IDIOMATIC,"He always tries to hold back his true feelings, which is tough."
hold,LOW,Statement,LITERAL,My old phone battery doesn't hold a charge for very long anymore.
hold,LOW,Statement,IDIOMATIC,We used to hold game nights at her place every Friday.
hold,LOW,Statement,IDIOMATIC,I don't think his excuse will hold up with the manager this time.
hold,LOW,Statement,LITERAL,"This new sofa can hold at least five people, it's huge."
hold,LOW,Statement,IDIOMATIC,"They tried to hold a surprise birthday party for him, but he found out."
hold,NEUTRAL,Imperative,LITERAL,"Hold the door for the next person entering, please."
hold,NEUTRAL,Imperative,LITERAL,Please hold this package carefully; it contains fragile items.
hold,NEUTRAL,Imperative,LITERAL,"Hold your breath for ten seconds, then exhale slowly."
hold,NEUTRAL,Imperative,LITERAL,Always hold onto the railing when using the escalator.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold your place in the book until you find a bookmark.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold the line; a customer service representative will be with you shortly.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold all questions until the end of the presentation.
hold,NEUTRAL,Imperative,LITERAL,Hold the power button down for five seconds to turn it off.
hold,NEUTRAL,Imperative,LITERAL,Hold the steering wheel firmly with both hands.
hold,HIGH,Question,IDIOMATIC,Could we hold our next team meeting in Conference Room B?
hold,HIGH,Question,IDIOMATIC,Do you believe the current budget can hold us for the entire quarter?
hold,HIGH,Question,IDIOMATIC,Will the company hold an annual review for all employees this year?
hold,HIGH,Question,IDIOMATIC,Could you please hold the line while I transfer your call?
hold,HIGH,Question,IDIOMATIC,Are we required to hold this information strictly confidential?
hold,HIGH,Question,IDIOMATIC,Would it be possible to hold a brief discussion about the new project timeline?
hold,HIGH,Question,IDIOMATIC,Should we hold a workshop to train the new staff members effectively?
hold,HIGH,Question,IDIOMATIC,Can you confirm if the system will hold all the new user data securely?
hold,HIGH,Question,IDIOMATIC,Are you planning to hold the open position until a suitable candidate is found?
hold,HIGH,Question,IDIOMATIC,Do you think this proposal will hold up under scrutiny from the board?
hold,LOW,Statement,IDIOMATIC,I can't believe she still holds a grudge after all these years.
hold,LOW,Statement,IDIOMATIC,"Just hold on a second, I need to find my keys before we go."
hold,LOW,Statement,IDIOMATIC,He had to hold back his laughter during the serious presentation.
hold,LOW,Statement,IDIOMATIC,"My old phone won't hold a charge for very long anymore, it's annoying."
hold,LOW,Statement,IDIOMATIC,"Let's hold off on going to the party until later tonight, I'm tired now."
hold,LOW,Statement,IDIOMATIC,She managed to hold it together even after getting the bad news about the trip.
hold,LOW,Statement,IDIOMATIC,I always hold onto old concert tickets as souvenirs from good times.
hold,LOW,Statement,LITERAL,Don't forget to hold the door open for Mrs. Smith when you leave.
hold,LOW,Statement,IDIOMATIC,"This tiny umbrella won't hold up in such a strong wind, it'll break."
hold,LOW,Statement,IDIOMATIC,I totally hold you responsible for suggesting that terrible movie last night!
hold,NEUTRAL,Imperative,LITERAL,Hold the button down for five seconds to reset the device.
hold,NEUTRAL,Imperative,LITERAL,Please hold the door open for the next person entering.
hold,NEUTRAL,Imperative,LITERAL,"Hold your breath before diving into the water, please."
hold,NEUTRAL,Imperative,LITERAL,Hold the railing firmly as you go down the stairs.
hold,NEUTRAL,Imperative,LITERAL,Hold the camera steady to get a clear picture.
hold,NEUTRAL,Imperative,LITERAL,Hold this box for me while I open the car trunk.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold your place in line; do not move forward yet.
hold,NEUTRAL,Imperative,LITERAL,"For your safety, hold the child's hand when crossing the road."
hold,NEUTRAL,Imperative,LITERAL,Hold the steering wheel with both hands at all times.
hold,NEUTRAL,Imperative,IDIOMATIC,Hold all questions until the end of the presentation.
keep,HIGH,Question,LITERAL,Could we keep this discussion confidential within the team?
keep,HIGH,Question,LITERAL,How might we keep our production costs at a competitive level?
keep,HIGH,Question,IDIOMATIC,Are there specific guidelines we must keep in mind for this project?
